iter	Logloss
0	0.642841208
1	0.6096777086
2	0.5872194253
3	0.5702499029
4	0.551781033
5	0.5373118344
6	0.5136280661
7	0.5001378331
8	0.4855301404
9	0.474895828
10	0.4661251914
11	0.4497127162
12	0.4354023862
13	0.4271494101
14	0.4227220425
15	0.4071012874
16	0.3921972815
17	0.3838246638
18	0.3728770961
19	0.3666882942
20	0.362862961
21	0.3586936111
22	0.3546091948
23	0.3486795986
24	0.335113125
25	0.3316083439
26	0.327451059
27	0.3198474295
28	0.3098864298
29	0.3060877405
30	0.3000020435
31	0.2934611523
32	0.2884159445
33	0.2860362022
34	0.2781322862
35	0.2724696259
36	0.266630577
37	0.2621188177
38	0.2554314832
39	0.2483351358
40	0.2426406371
41	0.2396181599
42	0.2365348449
43	0.2288956232
44	0.2271415083
45	0.2237621215
46	0.2172136494
47	0.2148944222
48	0.21235444
49	0.2094304592
50	0.2080019715
51	0.2029312551
52	0.1988182756
53	0.1957447443
54	0.1925975717
55	0.1903510256
56	0.1838545951
57	0.1811840509
58	0.178923558
59	0.1763417058
60	0.1743119623
61	0.1722386893
62	0.1682794818
63	0.1661055252
64	0.1636867612
65	0.1590977155
66	0.1571421132
67	0.1536965132
68	0.1508330023
69	0.1470760845
70	0.1451633506
71	0.1430596669
72	0.1413826358
73	0.1396981401
74	0.13723635
75	0.1341389252
76	0.1328728284
77	0.1297500758
78	0.1256509738
79	0.1233525232
80	0.1211239511
81	0.1196987636
82	0.1177253466
83	0.1156585199
84	0.1141180666
85	0.1118691564
86	0.1107538699
87	0.1091915429
88	0.1073170481
89	0.1060935121
90	0.105335585
91	0.1036366448
92	0.1020626413
93	0.1006600045
94	0.0994674051
95	0.09768674752
96	0.0962876323
97	0.09509436293
98	0.09287649921
99	0.09177203904
100	0.08991835821
101	0.0891033244
102	0.0878106293
103	0.08690536306
104	0.08593925476
105	0.08403834088
106	0.08286342297
107	0.08177695924
108	0.08017007031
109	0.07897260004
110	0.07836133827
111	0.07718786893
112	0.07625176739
113	0.07503341053
114	0.07414643433
115	0.07322426512
116	0.07283343463
117	0.07190656777
118	0.07074751563
119	0.07006322395
120	0.06932230188
121	0.06858084509
122	0.0678419191
123	0.06680463778
124	0.06581633255
125	0.06503817881
126	0.06440734404
127	0.06356367412
128	0.06307382444
129	0.06269718804
130	0.06179335296
131	0.06124717397
132	0.06052949572
133	0.05986740955
134	0.0595995462
135	0.0591416627
136	0.0582376221
137	0.05763934438
138	0.05720108331
139	0.05665784462
140	0.05620215971
141	0.05576890836
142	0.05544213874
143	0.05498332628
144	0.05442125803
145	0.05380384402
146	0.0535218665
147	0.0531550585
148	0.05259960916
149	0.05179576352
150	0.05135211229
151	0.05070731297
152	0.05037797935
153	0.04979215742
154	0.04905480706
155	0.0484755077
156	0.04806546466
157	0.0476413498
158	0.04730330867
159	0.04676672481
160	0.04630275195
161	0.04584254324
162	0.04530665633
163	0.04476226355
164	0.04434125742
165	0.04374826956
166	0.04335213463
167	0.04315560126
168	0.04282899689
169	0.04230290325
170	0.04173377972
171	0.04131321296
172	0.04109974249
173	0.04065755833
174	0.04031668967
175	0.03985905351
176	0.03927258447
177	0.03896527322
178	0.03868663199
179	0.03814424973
180	0.03794832579
181	0.0374324944
182	0.03710612188
183	0.03683230958
184	0.03635375685
185	0.03600620661
186	0.03583653597
187	0.03563381422
188	0.035452439
189	0.03521768624
190	0.03485684471
191	0.03448456697
192	0.03418860359
193	0.03398137605
194	0.03366621447
195	0.03348383512
196	0.03335701702
197	0.03320863295
198	0.03308093878
199	0.03255095949
200	0.03232360261
201	0.03217883422
202	0.03186256498
203	0.03151831036
