iter	Passed	Remaining
400	27182	6710
401	27249	6642
402	27316	6575
403	27392	6509
404	27458	6440
405	27523	6372
406	27612	6309
407	27700	6246
408	27780	6180
409	27845	6112
410	27913	6044
411	27980	5976
412	28051	5909
413	28119	5841
414	28197	5775
415	28274	5709
416	28339	5640
417	28417	5574
418	28485	5506
419	28552	5438
420	28618	5370
421	28684	5301
422	28752	5233
423	28820	5165
424	28887	5097
425	28953	5029
426	29019	4961
427	29086	4893
428	29154	4825
429	29221	4757
430	29289	4688
431	29355	4620
432	29423	4552
433	29495	4485
434	29562	4417
435	29628	4349
436	29693	4280
437	29759	4212
438	29826	4144
439	29895	4076
440	29961	4008
441	30026	3940
442	30092	3871
443	30159	3803
444	30225	3735
445	30292	3667
446	30357	3599
447	30423	3531
448	30491	3463
449	30557	3395
450	30625	3327
451	30689	3259
452	30756	3191
453	30822	3122
454	30889	3054
455	30957	2987
456	31023	2919
457	31088	2850
458	31156	2783
459	31223	2715
460	31290	2647
461	31357	2579
462	31422	2511
463	31490	2443
464	31558	2375
465	31626	2307
466	31693	2239
467	31760	2171
468	31830	2103
469	31898	2036
470	31965	1968
471	32031	1900
472	32096	1832
473	32162	1764
474	32227	1696
475	32294	1628
476	32361	1560
477	32428	1492
478	32495	1424
479	32565	1356
480	32652	1289
481	32718	1221
482	32784	1153
483	32856	1086
484	32952	1019
485	33019	951
486	33093	883
487	33160	815
488	33229	747
489	33325	680
490	33395	612
491	33469	544
492	33536	476
493	33605	408
494	33681	340
495	33745	272
496	33812	204
497	33899	136
498	33972	68
499	34043	0
